lemma,lila_id,synset_id,sem_type,definition_pt,lexemes_pt,argumentSet
cado,lilaLemma:92179,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02756821-v"" target=""_blank"">02756821-v</a></small></small><br>",<small><small>categoria:&ensp;clima</small></small><br>,<small><small>definição:</small>&ensp;cair das nuvens</small><br>,"<small><small>lexemas:</small></small>&ensp;cair, precipitar, desabar, descer<br>","<small><small>valências:&ensp;[ACT,DIR3] ou [ACT,PAT] ou [ACT]</small></small><br>"
effundo,lilaLemma:100687,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02757651-v"" target=""_blank"">02757651-v</a></small></small><br>",<small><small>categoria:&ensp;clima</small></small><br>,<small><small>definição:</small>&ensp;chover abundantemente</small><br>,"<small><small>lexemas:</small></small>&ensp;cair, chover em quantidade<br>",<small><small>valências:&ensp;[ACT]</small></small><br>
effundo,lilaLemma:100687,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02767308-v"" target=""_blank"">02767308-v</a></small></small><br>",<small><small>categoria:&ensp;clima</small></small><br>,"<small><small>definição:</small>&ensp;enviar, mandar ou descarregar; como a luz, calor, ou radiação, vapor, etc</small><br>","<small><small>lexemas:</small></small>&ensp;emitir, despedir<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,DIR1,PAT] ou [ACT,DIR3,PAT]</small></small><br>"
effundo,lilaLemma:100687,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02758033-v"" target=""_blank"">02758033-v</a></small></small><br>",<small><small>categoria:&ensp;clima</small></small><br>,<small><small>definição:</small>&ensp;chover fortemente</small><br>,"<small><small>lexemas:</small></small>&ensp;chover, chover a cântaros, chover a potes, chover canivetes, chover fortemente<br>",<small><small>valências:&ensp;[ACT]</small></small><br>
edo,lilaLemma:100577,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02767308-v"" target=""_blank"">02767308-v</a></small></small><br>",<small><small>categoria:&ensp;clima</small></small><br>,"<small><small>definição:</small>&ensp;enviar, mandar ou descarregar; como a luz, calor, ou radiação, vapor, etc</small><br>","<small><small>lexemas:</small></small>&ensp;emitir, despedir<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,DIR1,PAT] ou [ACT,DIR3,PAT]</small></small><br>"
excipio,lilaLemma:101865,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02765464-v"" target=""_blank"">02765464-v</a></small></small><br>",<small><small>categoria:&ensp;clima</small></small><br>,<small><small>definição:</small>&ensp;sugar ou engolir</small><br>,"<small><small>lexemas:</small></small>&ensp;absorver, engulir, receber<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
fluo,lilaLemma:103519,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02757304-v"" target=""_blank"">02757304-v</a></small></small><br>",<small><small>categoria:&ensp;clima</small></small><br>,<small><small>definição:</small>&ensp;tornar-se líquido</small><br>,<small><small>lexemas:</small></small>&ensp;liquefazer<br>,"<small><small>valências:&ensp;[ACT] ou [ACT,ACMP] ou [ACT,EFF]</small></small><br>"
fundo,lilaLemma:104012,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02767308-v"" target=""_blank"">02767308-v</a></small></small><br>",<small><small>categoria:&ensp;clima</small></small><br>,"<small><small>definição:</small>&ensp;enviar, mandar ou descarregar; como a luz, calor, ou radiação, vapor, etc</small><br>","<small><small>lexemas:</small></small>&ensp;emitir, despedir<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,DIR1,PAT] ou [ACT,DIR3,PAT]</small></small><br>"
iacio,lilaLemma:106001,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02767308-v"" target=""_blank"">02767308-v</a></small></small><br>",<small><small>categoria:&ensp;clima</small></small><br>,"<small><small>definição:</small>&ensp;enviar, mandar ou descarregar; como a luz, calor, ou radiação, vapor, etc</small><br>","<small><small>lexemas:</small></small>&ensp;emitir, despedir<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,DIR1,PAT] ou [ACT,DIR3,PAT]</small></small><br>"
abeo,lilaLemma:86873,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00613683-v"" target=""_blank"">00613683-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>definição:</small>&ensp;ir e deixar para trás, deliberadamente ou por negligência ou esquecimento</small><br>","<small><small>lexemas:</small></small>&ensp;abandonar, deixar, esquecer<br>","<small><small>valências:&ensp;[ACT,DIR1] ou [ACT,EFF,PAT]</small></small><br>"
abeo,lilaLemma:86873,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00614999-v"" target=""_blank"">00614999-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;deixar de fazer ou deixar de fora</small><br>,"<small><small>lexemas:</small></small>&ensp;deixar passar, escapar, omitir, perder, preterir<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,PAT,DIR1] ou [ACT,ORIG]</small></small><br>"
aufero,lilaLemma:90671,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00597915-v"" target=""_blank"">00597915-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;adquirir conhecimentos ou habilidades</small><br>,"<small><small>lexemas:</small></small>&ensp;adquirir, aprender<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
aufero,lilaLemma:90671,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00641252-v"" target=""_blank"">00641252-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;fazer uma subtração</small><br>,"<small><small>lexemas:</small></small>&ensp;deduzir, subtrair, abater, descontar, extrair, furtar, palmar, pifar, restar, surripiar<br>","<small><small>valências:&ensp;[ACT,DIR1,PAT] ou [ACT,ORIG,PAT] ou [ACT,ADDR,PAT] ou [ACT,PAT,DIR1] ou [ACT,PAT] ou [ACT,ORIG]</small></small><br>"
accipio,lilaLemma:87119,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00593522-v"" target=""_blank"">00593522-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;acredito ser o caso</small><br>,"<small><small>lexemas:</small></small>&ensp;entender, inferir, deduzir<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,ORIG,PAT]</small></small><br>"
accipio,lilaLemma:87119,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00624476-v"" target=""_blank"">00624476-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;interpretar algo de uma certa maneira; transmitir um significado ou impressão particular</small><br>,"<small><small>lexemas:</small></small>&ensp;ler, entender<br>","<small><small>valências:&ensp;[ACT,EFF,PAT] ou [ACT,PAT]</small></small><br>"
accipio,lilaLemma:87119,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00588221-v"" target=""_blank"">00588221-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;pegar o sentido de algo</small><br>,"<small><small>lexemas:</small></small>&ensp;compreender, entender<br>","<small><small>valências:&ensp;[ACT,ORIG,PAT] ou [ACT,PAT]</small></small><br>"
accipio,lilaLemma:87119,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00636574-v"" target=""_blank"">00636574-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;razão por dedução; estabelecer por dedução</small><br>,"<small><small>lexemas:</small></small>&ensp;concluir, deduzir, depreender, inferir<br>","<small><small>valências:&ensp;[ACT,ORIG,PAT] ou [ACT,PAT] ou [ACT]</small></small><br>"
accipio,lilaLemma:87119,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00686447-v"" target=""_blank"">00686447-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;considerar ou manter como verdadeiro</small><br>,<small><small>lexemas:</small></small>&ensp;aceitar<br>,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
accipio,lilaLemma:87119,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00623151-v"" target=""_blank"">00623151-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;fazer sentido; atribuir um significado à</small><br>,"<small><small>lexemas:</small></small>&ensp;compreender, entender, construir, interpretar, ver<br>","<small><small>valências:&ensp;[ACT,EFF,PAT] ou [ACT,PAT] ou [ACT,PAT,EFF] ou [ACT,ADDR,PAT]</small></small><br>"
accipio,lilaLemma:87119,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00597915-v"" target=""_blank"">00597915-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;adquirir conhecimentos ou habilidades</small><br>,"<small><small>lexemas:</small></small>&ensp;adquirir, aprender<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
accipio,lilaLemma:87119,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00683280-v"" target=""_blank"">00683280-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;aceitar como verdade; tomar como verdade</small><br>,"<small><small>lexemas:</small></small>&ensp;acreditar, crer, achar, considerar<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
accipio,lilaLemma:87119,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00686879-v"" target=""_blank"">00686879-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;aceitar como verdadeiro ou válido</small><br>,"<small><small>lexemas:</small></small>&ensp;aceitar, receber<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
acies,lilaLemma:87231,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05623818-n"" target=""_blank"">05623818-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;a amplitude de visão</small><br>,<small><small>lexemas:</small></small>&ensp;vista<br>,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT]</small></small><br>"
acies,lilaLemma:87231,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05654362-n"" target=""_blank"">05654362-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;a capacidade de ver; a faculdade visual</small><br>,"<small><small>lexemas:</small></small>&ensp;visão, vista<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT]</small></small><br>"
adeo2,lilaLemma:87421,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00669762-v"" target=""_blank"">00669762-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>definição:</small>&ensp;aceitar ou submeter-se, muitas vezes a contragosto</small><br>",<small><small>lexemas:</small></small>&ensp;aceitar<br>,"<small><small>valências:&ensp;[ACT,EFF] ou [ACT,ADDR] ou [ACT,PAT]</small></small><br>"
appello,lilaLemma:89580,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00738747-v"" target=""_blank"">00738747-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;anunciar ou proferir em voz alta</small><br>,<small><small>lexemas:</small></small>&ensp;chamar<br>,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
appello,lilaLemma:89580,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00691516-v"" target=""_blank"">00691516-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;Considere ou considera como sendo</small><br>,<small><small>lexemas:</small></small>&ensp;chamar<br>,"<small><small>valências:&ensp;[ACT,EFF,PAT] ou [ACT,PAT,EFF]</small></small><br>"
aspicio,lilaLemma:90262,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00734054-v"" target=""_blank"">00734054-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;levar em consideração para exemplificar</small><br>,<small><small>lexemas:</small></small>&ensp;considerar<br>,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
aspicio,lilaLemma:90262,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00591115-v"" target=""_blank"">00591115-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;perceber (uma idéia ou situação) mentalmente</small><br>,"<small><small>lexemas:</small></small>&ensp;compreender, entender, perceber, realizar, ver<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
aspicio,lilaLemma:90262,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00689950-v"" target=""_blank"">00689950-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;observar ou considerar</small><br>,"<small><small>lexemas:</small></small>&ensp;considerar, reputar, estimar<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,EFF,PAT] ou [ACT,PAT,EFF]</small></small><br>"
aspicio,lilaLemma:90262,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00690614-v"" target=""_blank"">00690614-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;julgar ser</small><br>,"<small><small>lexemas:</small></small>&ensp;achar, considerar, ver, contar<br>","<small><small>valências:&ensp;[ACT,EFF,PAT] ou [ACT,PAT,EFF] ou [ACT,PAT] ou [ACT,REG] ou [ACT,PAT,CPR]</small></small><br>"
aether,lilaLemma:87965,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05627785-n"" target=""_blank"">05627785-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;a morada de Deus e os anjos</small><br>,"<small><small>lexemas:</small></small>&ensp;Céu, céu<br>",
agito,lilaLemma:88103,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00690614-v"" target=""_blank"">00690614-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;julgar ser</small><br>,"<small><small>lexemas:</small></small>&ensp;achar, considerar, ver, contar<br>","<small><small>valências:&ensp;[ACT,EFF,PAT] ou [ACT,PAT,EFF] ou [ACT,PAT] ou [ACT,REG] ou [ACT,PAT,CPR]</small></small><br>"
agito,lilaLemma:88103,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00734054-v"" target=""_blank"">00734054-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;levar em consideração para exemplificar</small><br>,<small><small>lexemas:</small></small>&ensp;considerar<br>,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
aio,lilaLemma:88191,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00665476-v"" target=""_blank"">00665476-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>definição:</small>&ensp;instituir, promulgar, ou estabelecer</small><br>","<small><small>lexemas:</small></small>&ensp;estabelecer, fazer, instituir, por, construir, colocar, deitar, delinear, pôr<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,LOC,PAT]</small></small><br>"
amitto,lilaLemma:88724,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00613393-v"" target=""_blank"">00613393-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;parar de manter ou insistir em; idéias ou reivindicações</small><br>,"<small><small>lexemas:</small></small>&ensp;abandonar, desistir, largar mão, renunciar<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
amo,lilaLemma:88705,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00694068-v"" target=""_blank"">00694068-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;respeitar muito; considerar muito bem</small><br>,"<small><small>lexemas:</small></small>&ensp;prezar, respeitar, venerar, apreciar, considerar, estimar, valorizar<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,EFF,PAT]</small></small><br>"
amor,lilaLemma:88717,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05813229-n"" target=""_blank"">05813229-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;qualquer objeto de afeto ou devoção</small><br>,"<small><small>lexemas:</small></small>&ensp;Paixão, afeição, amor, paixão<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
anima,lilaLemma:89075,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05618849-n"" target=""_blank"">05618849-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;capacidade intelectual e conhecimento</small><br>,<small><small>lexemas:</small></small>&ensp;inteligência<br>,
anima,lilaLemma:89075,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05675130-n"" target=""_blank"">05675130-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;um estado de alerta cognitivo no qual você está consciente de si mesmo e sua situação</small><br>,"<small><small>lexemas:</small></small>&ensp;Estudos da consciência, consciência, conhecimento, sentido<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
animus,lilaLemma:89094,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05982915-n"" target=""_blank"">05982915-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;sua intenção; o que você pretende fazer</small><br>,"<small><small>lexemas:</small></small>&ensp;ideia, intento, intenção, mente, objectivo, objetivo, plano, idéia<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
animus,lilaLemma:89094,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05789432-n"" target=""_blank"">05789432-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;o processo cognitivo de chegar a uma decisão ou tirar conclusões</small><br>,<small><small>lexemas:</small></small>&ensp;julgamento<br>,<small><small>valências:&ensp;[ACT]</small></small><br>
animus,lilaLemma:89094,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05760202-n"" target=""_blank"">05760202-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>definição:</small>&ensp;os processos cognitivos, no qual a experiência do passado é lembrada</small><br>",<small><small>lexemas:</small></small>&ensp;memória<br>,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
animus,lilaLemma:89094,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05614175-n"" target=""_blank"">05614175-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;a capacidade mental de compreender e distinguir as relações</small><br>,"<small><small>lexemas:</small></small>&ensp;critério, discernimento, julgamento, juízo<br>",<small><small>valências:&ensp;[ACT]</small></small><br>
animus,lilaLemma:89094,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05652593-n"" target=""_blank"">05652593-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;a capacidade de escolha consciente e decisão e intenção</small><br>,<small><small>lexemas:</small></small>&ensp;vontade<br>,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
animus,lilaLemma:89094,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=06196584-n"" target=""_blank"">06196584-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>definição:</small>&ensp;uma atitude da mente, especialmente um que favorece uma alternativa sobre os outros</small><br>","<small><small>lexemas:</small></small>&ensp;tendência, inclinação<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,DIR3]</small></small><br>"
animus,lilaLemma:89094,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05675130-n"" target=""_blank"">05675130-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;um estado de alerta cognitivo no qual você está consciente de si mesmo e sua situação</small><br>,"<small><small>lexemas:</small></small>&ensp;Estudos da consciência, consciência, conhecimento, sentido<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
animus,lilaLemma:89094,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05919263-n"" target=""_blank"">05919263-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;o locus de sentimentos e intuições</small><br>,"<small><small>lexemas:</small></small>&ensp;coração, alma, cor, entranha, peito, íntimo<br>",
animus,lilaLemma:89094,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05611302-n"" target=""_blank"">05611302-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;o que é responsável para os pensamentos e sentimentos; a sede da faculdade da razão</small><br>,"<small><small>lexemas:</small></small>&ensp;cabeça, mente, psique, cérebro<br>",
animus,lilaLemma:89094,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05945642-n"" target=""_blank"">05945642-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;uma crença pessoal ou julgamento que não se baseia em provas ou certeza</small><br>,"<small><small>lexemas:</small></small>&ensp;opinião, pensamento, perspicácia, parecer, visão<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT]</small></small><br>"
animus,lilaLemma:89094,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05762149-n"" target=""_blank"">05762149-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;recordação ou lembrança</small><br>,"<small><small>lexemas:</small></small>&ensp;memória, mente<br>",
animus,lilaLemma:89094,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05678148-n"" target=""_blank"">05678148-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;consciência e capacidade de resposta mental</small><br>,<small><small>lexemas:</small></small>&ensp;sensibilidade<br>,<small><small>valências:&ensp;[ACT]</small></small><br>
animus,lilaLemma:89094,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05767733-n"" target=""_blank"">05767733-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;a capacidade de formar imagens mentais de coisas ou eventos</small><br>,"<small><small>lexemas:</small></small>&ensp;Imaginação, imaginação, imagem, representação<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
animus,lilaLemma:89094,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05651680-n"" target=""_blank"">05651680-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;a capacidade para o pensamento racional ou inferência ou discriminação</small><br>,"<small><small>lexemas:</small></small>&ensp;entendimento, inteligência, razão, compreensão, intelecto<br>","<small><small>valências:&ensp;[PAT] ou [ACT,PAT] ou [ACT]</small></small><br>"
animus,lilaLemma:89094,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05618849-n"" target=""_blank"">05618849-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;capacidade intelectual e conhecimento</small><br>,<small><small>lexemas:</small></small>&ensp;inteligência<br>,
animus,lilaLemma:89094,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05982152-n"" target=""_blank"">05982152-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;um resultado antecipado que se destina ou que orienta suas ações planejadas</small><br>,"<small><small>lexemas:</small></small>&ensp;finalidade, intento, intenção, objectivo, objetivo, propósito, alvo, desenho, desígnio, escopo, fim, intuito, meta, mira, objeto, plano, resolução, tenção<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT]</small></small><br>"
aperio,lilaLemma:89397,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00636888-v"" target=""_blank"">00636888-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;utilizar como base para; encontrado no</small><br>,"<small><small>lexemas:</small></small>&ensp;alicerçar, basear, fundamentar, alicerçar-se, ancorar, apoiar, assentar, chapar, condizer, depositar-se, estabelecer, estampar, estribar, firmar, firmar-se, fundar, harmonizar-se, jazer, pespegar, pregar_com, repoisar, repousar<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,PAT,LOC]</small></small><br>"
arbitror,lilaLemma:89778,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00631737-v"" target=""_blank"">00631737-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>definição:</small>&ensp;imaginar, acreditar, ou supor</small><br>","<small><small>lexemas:</small></small>&ensp;achar, esperar, pensar, supor, acreditar, ajuizar, conjeturar, crer, imaginar, julgar, pressupor, presumir, prever, ter_ideia_(de)<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,PAT,EFF] ou [ACT] ou [ACT,EFF,PAT]</small></small><br>"
arbitror,lilaLemma:89778,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00698855-v"" target=""_blank"">00698855-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;pôr um fim; resolver conclusivamente</small><br>,"<small><small>lexemas:</small></small>&ensp;aceitar, concluir, decidir, resolver<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,REG]</small></small><br>"
arbitror,lilaLemma:89778,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00689344-v"" target=""_blank"">00689344-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>definição:</small>&ensp;julgar ou reparar; considerar</small><br>,"<small><small>lexemas:</small></small>&ensp;achar, pensar, acreditar, conceber, confiar, considerar, crer, dar_crédito, estar, ficar, julgar, supor<br>","<small><small>valências:&ensp;[ACT,EFF,PAT] ou [ACT,PAT] ou [ACT,PAT,EFF] ou [ACT,REG]</small></small><br>"
